epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1041,0.82249,2.8787,1.08821,0.00333,1,0.74741,0.556,0.67966,3.16958,0.87936,0.00038,0.00038,0.00038
2,8.57536,0.74649,1.70404,0.98223,1,0.21934,0.67067,0.52142,0.80721,3.12692,0.95826,0.00075426,0.00075426,0.00075426
3,12.1992,0.75001,1.50907,0.98447,1,0.3134,0.69073,0.51244,0.83215,3.078,0.99721,0.00110212,0.00110212,0.00110212
4,15.4923,0.79865,1.45154,0.98349,0.78899,0.37406,0.56218,0.44125,0.76196,2.99869,0.97252,0.00142358,0.00142358,0.00142358
5,19.264,0.75076,1.42691,1.00013,0.93588,0.72983,0.86707,0.70804,0.76963,2.141,0.97451,0.00171864,0.00171864,0.00171864
6,23.3804,0.75632,1.22742,1.01065,0.76107,0.7,0.76912,0.58196,0.89797,2.05439,1.06974,0.00167,0.00167,0.00167
7,26.9648,0.73983,1.17855,0.982,0.8898,0.86667,0.89507,0.74632,0.70895,1.8286,0.92368,0.001604,0.001604,0.001604
8,30.5108,0.73741,1.11224,1.02079,0.81815,0.9,0.91006,0.76644,0.64592,1.82432,0.91802,0.001538,0.001538,0.001538
9,33.9758,0.6709,1.06354,0.98768,0.92345,0.8043,0.9271,0.7269,0.742,1.57302,0.92994,0.001472,0.001472,0.001472
10,37.4331,0.73033,0.99368,0.99757,0.91322,0.87706,0.93683,0.77008,0.69974,1.2653,0.90148,0.001406,0.001406,0.001406
11,40.8339,0.66481,0.92423,0.97288,0.94873,0.86667,0.95549,0.79441,0.70651,1.23839,0.92364,0.00134,0.00134,0.00134
12,44.2183,0.69099,0.91832,0.99251,0.94269,0.96667,0.9777,0.82971,0.60691,1.0316,0.87014,0.001274,0.001274,0.001274
13,47.5746,0.62579,0.84391,0.955,0.94885,0.92752,0.97989,0.86451,0.55231,0.89394,0.83706,0.001208,0.001208,0.001208
14,51.0092,0.55509,0.74386,0.91357,0.95057,0.96158,0.97405,0.84456,0.55382,0.88288,0.84855,0.001142,0.001142,0.001142
15,54.3828,0.60327,0.75845,0.9343,0.91356,0.93333,0.94847,0.846,0.56334,0.89577,0.86482,0.001076,0.001076,0.001076
16,57.8454,0.56009,0.70792,0.92724,0.96529,0.92702,0.92918,0.81583,0.59312,0.9133,0.87041,0.00101,0.00101,0.00101
17,61.3681,0.5392,0.69295,0.91783,0.96533,0.95,0.97865,0.86561,0.51179,0.74811,0.82244,0.000944,0.000944,0.000944
18,64.8581,0.52506,0.62862,0.91688,0.89531,0.99773,0.97817,0.88171,0.48387,0.71343,0.81745,0.000878,0.000878,0.000878
19,68.3286,0.54662,0.63525,0.93622,0.94838,0.98333,0.9813,0.88673,0.43652,0.68402,0.81155,0.000812,0.000812,0.000812
20,71.7659,0.49599,0.5902,0.89291,0.98276,0.98333,0.98934,0.91654,0.41375,0.63077,0.79305,0.000746,0.000746,0.000746
21,76.9687,0.4267,0.63687,0.83223,0.96652,0.96235,0.98079,0.9061,0.42631,0.80837,0.80056,0.00068,0.00068,0.00068
22,80.5063,0.42339,0.62525,0.8311,0.98303,0.96536,0.98288,0.8976,0.42474,0.6358,0.80065,0.000614,0.000614,0.000614
23,83.9935,0.39119,0.56473,0.81247,0.96376,0.93333,0.97679,0.88228,0.43097,0.65507,0.79816,0.000548,0.000548,0.000548
24,87.4965,0.40002,0.58984,0.81963,0.9757,0.95,0.97938,0.89751,0.41914,0.60857,0.78763,0.000482,0.000482,0.000482
25,90.9788,0.37871,0.54278,0.82542,0.99118,0.95,0.98314,0.9044,0.41318,0.57134,0.78551,0.000416,0.000416,0.000416
26,94.3289,0.37862,0.50472,0.81388,0.98333,0.98297,0.98529,0.92138,0.39103,0.5666,0.78552,0.00035,0.00035,0.00035
27,97.7996,0.36477,0.48976,0.80837,1,0.96216,0.99047,0.91665,0.40541,0.55207,0.79766,0.000284,0.000284,0.000284
28,101.16,0.35586,0.4829,0.81048,0.99905,0.96667,0.99358,0.91904,0.39814,0.53055,0.7911,0.000218,0.000218,0.000218
29,104.48,0.33184,0.46474,0.81011,0.98358,0.99815,0.99451,0.92763,0.38258,0.49642,0.77993,0.000152,0.000152,0.000152
30,107.912,0.33914,0.46384,0.78775,0.98357,0.99792,0.99451,0.93121,0.37183,0.49075,0.77755,8.6e-05,8.6e-05,8.6e-05
