epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,5.42812,1.36133,2.77124,2.60096,0.12969,0.79108,0.78333,0.80063,0.58855,0.82981,1.74287,1.97096,0.12327,0.00038,0.00038,0.00038
2,9.21071,0.90049,1.44302,1.99991,0.09505,0.92067,0.86667,0.93583,0.77184,0.66259,1.69662,1.93948,0.09179,0.000772278,0.000772278,0.000772278
3,14.0236,0.84574,1.07494,1.86328,0.07902,0.94968,0.94361,0.97404,0.79732,0.7456,1.14125,1.82827,0.0743,0.00115664,0.00115664,0.00115664
4,17.904,0.81166,0.90955,1.7846,0.05826,0.91686,0.96667,0.97725,0.82269,0.66661,0.99586,1.76446,0.04595,0.00153307,0.00153307,0.00153307
5,21.5548,0.83791,0.87626,1.74472,0.07424,0.9833,0.98115,0.99401,0.83407,0.66496,0.76981,1.66948,0.05955,0.00190159,0.00190159,0.00190159
6,25.1645,0.82635,0.77659,1.59817,0.09438,0.92996,0.98333,0.97244,0.7911,0.69352,0.78231,1.5804,0.07334,0.001901,0.001901,0.001901
7,28.658,0.77761,0.75144,1.54881,0.07559,0.93617,0.97783,0.98481,0.83432,0.63398,0.66789,1.606,0.08438,0.0018812,0.0018812,0.0018812
8,32.2081,0.8066,0.75943,1.60588,0.0689,0.97665,1,0.99369,0.83915,0.65063,0.73427,1.54065,0.08668,0.0018614,0.0018614,0.0018614
9,35.9276,0.78262,0.73602,1.55502,0.06492,0.98357,0.99749,0.99418,0.87923,0.59425,0.57904,1.56557,0.05799,0.0018416,0.0018416,0.0018416
10,39.6696,0.79462,0.67936,1.57398,0.07976,1,0.94857,0.99265,0.85349,0.63488,0.5818,1.59038,0.06964,0.0018218,0.0018218,0.0018218
11,43.3434,0.76197,0.67576,1.53624,0.08012,0.96326,1,0.99403,0.84782,0.62132,0.5503,1.60906,0.0631,0.001802,0.001802,0.001802
12,48.0716,0.74023,0.63974,1.52204,0.06619,0.98254,0.96667,0.9909,0.88127,0.58468,0.5204,1.49456,0.0711,0.0017822,0.0017822,0.0017822
13,51.742,0.73219,0.63954,1.47085,0.05643,0.98039,0.96667,0.98384,0.87523,0.54225,0.50442,1.56924,0.04166,0.0017624,0.0017624,0.0017624
14,55.4687,0.6799,0.60491,1.46654,0.04962,0.96579,0.98333,0.99273,0.85324,0.59628,0.54983,1.58409,0.05171,0.0017426,0.0017426,0.0017426
15,59.0266,0.68247,0.60516,1.43627,0.04879,0.99689,0.96667,0.98373,0.87071,0.52603,0.51883,1.50099,0.0275,0.0017228,0.0017228,0.0017228
16,62.438,0.70326,0.57805,1.4365,0.05004,0.98093,0.93333,0.98232,0.86878,0.52896,0.53467,1.50921,0.04009,0.001703,0.001703,0.001703
17,66.0762,0.63254,0.56521,1.41311,0.05411,0.96721,0.98333,0.99138,0.88027,0.5125,0.47122,1.48277,0.05136,0.0016832,0.0016832,0.0016832
18,69.72,0.64202,0.5495,1.42025,0.04818,0.96623,0.98333,0.98383,0.89418,0.50604,0.44635,1.53786,0.04395,0.0016634,0.0016634,0.0016634
19,73.4545,0.68442,0.57218,1.44196,0.04836,0.98265,0.94416,0.98223,0.87014,0.57795,0.50653,1.52407,0.04312,0.0016436,0.0016436,0.0016436
20,77.1433,0.67225,0.55074,1.43303,0.04393,0.96656,0.96353,0.973,0.86746,0.53886,0.48214,1.55053,0.03921,0.0016238,0.0016238,0.0016238
21,80.8455,0.63875,0.52583,1.39821,0.04418,0.98331,0.98174,0.99203,0.86862,0.55611,0.45026,1.52732,0.04746,0.001604,0.001604,0.001604
22,84.495,0.65515,0.54415,1.40087,0.04618,0.98104,0.98333,0.993,0.89348,0.52612,0.43765,1.48694,0.04987,0.0015842,0.0015842,0.0015842
23,88.3497,0.62615,0.52126,1.37099,0.03998,0.96252,0.98333,0.98401,0.89329,0.51948,0.42977,1.4878,0.04296,0.0015644,0.0015644,0.0015644
24,92.9384,0.61504,0.50389,1.39101,0.03437,1,0.97711,0.99409,0.90177,0.49895,0.40896,1.48069,0.03844,0.0015446,0.0015446,0.0015446
25,96.979,0.63605,0.50059,1.37068,0.04138,1,0.99928,0.995,0.8992,0.5271,0.42817,1.47702,0.04315,0.0015248,0.0015248,0.0015248
26,100.435,0.64335,0.5247,1.36111,0.04674,0.99861,0.98333,0.99468,0.86968,0.54442,0.4217,1.41626,0.06321,0.001505,0.001505,0.001505
27,103.876,0.59649,0.48289,1.3494,0.04227,0.98356,0.99694,0.99484,0.87943,0.52932,0.40072,1.47505,0.06206,0.0014852,0.0014852,0.0014852
28,107.427,0.60668,0.49571,1.36044,0.04684,0.98342,1,0.99369,0.87999,0.54768,0.44174,1.52358,0.05199,0.0014654,0.0014654,0.0014654
29,111.183,0.60174,0.47743,1.34917,0.04573,0.99391,0.96667,0.99279,0.88851,0.51593,0.42777,1.48509,0.05048,0.0014456,0.0014456,0.0014456
30,114.948,0.58043,0.46518,1.32734,0.04387,0.97997,0.98333,0.99277,0.90199,0.51543,0.40694,1.53403,0.03839,0.0014258,0.0014258,0.0014258
